ACST,Power
2017-01-19 10:47:00+08:00,2285.390072
2017-01-19 10:57:00+08:00,2314.13711456
2017-01-19 11:07:00+08:00,2558.4869976
2017-01-19 11:17:00+08:00,2615.9810888
2017-01-19 11:27:00+08:00,2673.47517696
2017-01-19 11:37:00+08:00,2716.59574384
2017-01-19 11:47:00+08:00,2752.5295500800003
2017-01-19 11:57:00+08:00,2810.02364128
2017-01-19 12:07:00+08:00,2853.1442081600003
2017-01-19 12:17:00+08:00,2896.2647750399997
2017-01-19 12:27:00+08:00,2996.8794331199997
2017-01-19 12:37:00+08:00,3011.2529544
2017-01-19 12:47:00+08:00,3040.0
2017-01-19 12:57:00+08:00,3047.1867606399996
2017-01-19 13:07:00+08:00,3054.37352128
2017-01-19 13:17:00+08:00,3040.0
2017-01-19 13:27:00+08:00,3097.4940911999997
2017-01-19 13:37:00+08:00,3140.6146580800005
2017-01-19 13:47:00+08:00,3075.93380624
2017-01-19 13:57:00+08:00,3061.5602849600004
2017-01-19 14:07:00+08:00,3025.62647872
2017-01-19 14:17:00+08:00,2989.69267248
2017-01-19 14:27:00+08:00,2989.69267248
2017-01-19 14:37:00+08:00,2946.57210256
2017-01-19 14:47:00+08:00,2917.8250599999997
2017-01-19 14:57:00+08:00,2896.2647750399997
2017-01-19 15:07:00+08:00,2874.70449312
2017-01-19 15:17:00+08:00,2831.5839232
2017-01-19 15:27:00+08:00,2752.5295500800003
2017-01-19 15:37:00+08:00,2680.6619376000003
2017-01-19 15:47:00+08:00,2601.6075644800003
2017-01-19 15:57:00+08:00,2544.11347632
2017-01-19 16:07:00+08:00,2465.05910016
2017-01-19 16:17:00+08:00,2386.00472704
2017-01-19 16:27:00+08:00,2278.20330832
2017-01-19 16:37:00+08:00,2163.21512896
2017-01-19 16:47:00+08:00,2069.7872345600003
2017-01-19 16:57:00+08:00,1976.35933712
2017-01-19 17:07:00+08:00,1875.7446820799998
2017-01-19 17:17:00+08:00,1724.8226964800003
2017-01-19 17:27:00+08:00,1480.47281344
2017-01-19 17:37:00+08:00,934.2789591999999
2017-01-19 17:47:00+08:00,768.9834523200001
2017-01-19 17:57:00+08:00,539.0070936000001
2017-01-20 07:07:00+08:00,107.80141871999999
2017-01-20 07:17:00+08:00,107.80141871999999
2017-01-20 07:27:00+08:00,114.98817936
2017-01-20 07:37:00+08:00,150.9219856
2017-01-20 07:47:00+08:00,215.60283743999997
2017-01-20 07:57:00+08:00,316.21749552
2017-01-20 08:07:00+08:00,438.39243552000005
2017-01-20 08:17:00+08:00,567.7541361599999
2017-01-20 08:27:00+08:00,704.3026004799999
2017-01-20 08:37:00+08:00,848.03782544
2017-01-20 08:47:00+08:00,991.7730504000001
2017-01-20 08:57:00+08:00,1135.50827536
2017-01-20 09:07:00+08:00,1264.869976
2017-01-20 09:17:00+08:00,1401.41844032
2017-01-20 09:27:00+08:00,1530.7801409600002
2017-01-20 09:37:00+08:00,1652.9550840000002
2017-01-20 09:47:00+08:00,1753.5697390399998
2017-01-20 09:57:00+08:00,1846.99763648
2017-01-20 10:07:00+08:00,1961.98581584
2017-01-20 10:17:00+08:00,2048.2269496
2017-01-20 10:27:00+08:00,2148.84160768
2017-01-20 10:37:00+08:00,2213.52245952
2017-01-20 10:47:00+08:00,2292.57683264
2017-01-20 10:57:00+08:00,2393.19149072
2017-01-20 11:07:00+08:00,2436.3120575999997
2017-01-20 11:17:00+08:00,2493.80614576
2017-01-20 11:27:00+08:00,2536.92671264
2017-01-20 11:37:00+08:00,2580.04728256
2017-01-20 11:47:00+08:00,2651.91489504
2017-01-20 11:57:00+08:00,2709.4089832
2017-01-20 12:07:00+08:00,2759.71631072
2017-01-20 12:17:00+08:00,2802.83688064
2017-01-20 12:27:00+08:00,2867.51772944
2017-01-20 12:37:00+08:00,2896.2647750399997
2017-01-20 12:47:00+08:00,2932.1985812800003
2017-01-20 12:57:00+08:00,2960.94562688
2017-01-20 13:07:00+08:00,2982.5059088
2017-01-20 13:17:00+08:00,3011.2529544
2017-01-20 13:27:00+08:00,3032.8132393600004
2017-01-20 13:37:00+08:00,3025.62647872
2017-01-20 13:47:00+08:00,3025.62647872
2017-01-20 13:57:00+08:00,3004.0661937600003
2017-01-20 14:07:00+08:00,3011.2529544
2017-01-20 14:17:00+08:00,2996.8794331199997
2017-01-20 14:27:00+08:00,2975.31914816
2017-01-20 14:37:00+08:00,2910.63829936
2017-01-20 14:47:00+08:00,2860.3309688
2017-01-20 14:57:00+08:00,2824.39716256
2017-01-20 15:07:00+08:00,2810.02364128
